Week,Day,Date,Time,Winner/tie,,Loser/tie,,Pts,Pts.1,YdsW,TOW,YdsL,TOL
1,Sat,1966-09-10,,Green Bay Packers,,Baltimore Colts,boxscore,24,3,292,1,213,3
1,Sun,1966-09-11,,Los Angeles Rams,@,Atlanta Falcons,boxscore,19,14,421,2,237,2
1,Sun,1966-09-11,,Detroit Lions,,Chicago Bears,boxscore,14,3,208,3,256,3
1,Sun,1966-09-11,,Cleveland Browns,@,Washington Redskins,boxscore,38,14,307,3,315,6
1,Sun,1966-09-11,,St. Louis Cardinals,,Philadelphia Eagles,boxscore,16,13,278,1,254,0
1,Sun,1966-09-11,,San Francisco 49ers,,Minnesota Vikings,boxscore,20,20,307,1,298,1
1,Sun,1966-09-11,,Pittsburgh Steelers,,New York Giants,boxscore,34,34,404,3,279,5
2,Fri,1966-09-16,,Los Angeles Rams,,Chicago Bears,boxscore,31,17,294,4,239,3
2,Sun,1966-09-18,,Dallas Cowboys,,New York Giants,boxscore,52,7,518,1,257,4
2,Sun,1966-09-18,,Philadelphia Eagles,,Atlanta Falcons,boxscore,23,10,340,2,298,3
2,Sun,1966-09-18,,Green Bay Packers,@,Cleveland Browns,boxscore,21,20,356,2,266,1
2,Sun,1966-09-18,,Baltimore Colts,@,Minnesota Vikings,boxscore,38,23,346,2,337,3
2,Sun,1966-09-18,,St. Louis Cardinals,,Washington Redskins,boxscore,23,7,382,2,217,3
2,Sun,1966-09-18,,Pittsburgh Steelers,,Detroit Lions,boxscore,17,3,256,1,158,4
3,Sun,1966-09-25,,Dallas Cowboys,,Minnesota Vikings,boxscore,28,17,314,0,389,1
3,Sun,1966-09-25,,Detroit Lions,,Atlanta Falcons,boxscore,28,10,344,3,259,3
3,Sun,1966-09-25,,St. Louis Cardinals,@,Cleveland Browns,boxscore,34,28,313,5,373,1
3,Sun,1966-09-25,,Baltimore Colts,,San Francisco 49ers,boxscore,36,14,379,2,250,1
3,Sun,1966-09-25,,Green Bay Packers,,Los Angeles Rams,boxscore,24,13,327,5,173,2
3,Sun,1966-09-25,,Philadelphia Eagles,,New York Giants,boxscore,35,17,271,0,386,1
3,Sun,1966-09-25,,Washington Redskins,@,Pittsburgh Steelers,boxscore,33,27,320,2,278,6
4,Fri,1966-09-30,,Los Angeles Rams,,San Francisco 49ers,boxscore,34,3,356,1,251,5
4,Sun,1966-10-02,,Chicago Bears,@,Minnesota Vikings,boxscore,13,10,283,2,284,3
4,Sun,1966-10-02,,Dallas Cowboys,@,Atlanta Falcons,boxscore,47,14,363,2,276,5
4,Sun,1966-10-02,,Cleveland Browns,@,New York Giants,boxscore,28,7,418,1,274,6
4,Sun,1966-10-02,,St. Louis Cardinals,@,Philadelphia Eagles,boxscore,41,10,147,1,230,5
4,Sun,1966-10-02,,Green Bay Packers,,Detroit Lions,boxscore,23,14,251,0,349,5
4,Sun,1966-10-02,,Washington Redskins,,Pittsburgh Steelers,boxscore,24,10,333,0,249,4
5,Sat,1966-10-08,,Cleveland Browns,,Pittsburgh Steelers,boxscore,41,10,467,2,204,6
5,Sun,1966-10-09,,Chicago Bears,,Baltimore Colts,boxscore,27,17,315,1,364,4
5,Sun,1966-10-09,,Dallas Cowboys,,Philadelphia Eagles,boxscore,56,7,652,0,217,1
5,Sun,1966-10-09,,Washington Redskins,,Atlanta Falcons,boxscore,33,20,432,0,268,2
5,Sun,1966-10-09,,St. Louis Cardinals,,New York Giants,boxscore,24,19,268,2,271,2
5,Sun,1966-10-09,,Los Angeles Rams,@,Detroit Lions,boxscore,14,7,369,3,283,6
5,Sun,1966-10-09,,San Francisco 49ers,,Green Bay Packers,boxscore,21,20,248,1,368,2
6,Sun,1966-10-16,,Green Bay Packers,@,Chicago Bears,boxscore,17,0,180,2,94,4
6,Sun,1966-10-16,,Baltimore Colts,,Detroit Lions,boxscore,45,14,420,2,293,4
6,Sun,1966-10-16,,Minnesota Vikings,,Los Angeles Rams,boxscore,35,7,378,1,230,3
6,Sun,1966-10-16,,San Francisco 49ers,@,Atlanta Falcons,boxscore,44,7,504,1,215,4
6,Sun,1966-10-16,,Dallas Cowboys,@,St. Louis Cardinals,boxscore,10,10,326,4,175,0
6,Sun,1966-10-16,,New York Giants,,Washington Redskins,boxscore,13,10,325,1,188,2
6,Sun,1966-10-16,,Philadelphia Eagles,@,Pittsburgh Steelers,boxscore,31,14,281,3,178,3
7,Sun,1966-10-23,,Chicago Bears,,Los Angeles Rams,boxscore,17,10,287,2,203,2
7,Sun,1966-10-23,,Cleveland Browns,,Dallas Cowboys,boxscore,30,21,264,0,413,4
7,Sun,1966-10-23,,Baltimore Colts,,Minnesota Vikings,boxscore,20,17,347,2,317,1
7,Sun,1966-10-23,,Green Bay Packers,,Atlanta Falcons,boxscore,56,3,357,0,216,4
7,Sun,1966-10-23,,Washington Redskins,,St. Louis Cardinals,boxscore,26,20,291,1,251,5
7,Sun,1966-10-23,,San Francisco 49ers,,Detroit Lions,boxscore,27,24,359,4,314,2
7,Sun,1966-10-23,,Philadelphia Eagles,@,New York Giants,boxscore,31,3,316,3,228,5
8,Sun,1966-10-30,,Baltimore Colts,@,Los Angeles Rams,boxscore,17,3,322,3,340,6
8,Sun,1966-10-30,,Dallas Cowboys,,Pittsburgh Steelers,boxscore,52,21,425,3,119,4
8,Sun,1966-10-30,,Minnesota Vikings,,San Francisco 49ers,boxscore,28,3,559,2,154,3
8,Sun,1966-10-30,,Cleveland Browns,@,Atlanta Falcons,boxscore,49,17,508,1,321,3
8,Sun,1966-10-30,,Green Bay Packers,@,Detroit Lions,boxscore,31,7,344,2,317,5
8,Sun,1966-10-30,,Washington Redskins,@,Philadelphia Eagles,boxscore,27,13,260,3,257,2
8,Mon,1966-10-31,,St. Louis Cardinals,,Chicago Bears,boxscore,24,17,166,3,282,4
9,Sun,1966-11-06,,Detroit Lions,@,Chicago Bears,boxscore,10,10,255,1,282,0
9,Sun,1966-11-06,,Pittsburgh Steelers,,Cleveland Browns,boxscore,16,6,267,0,307,6
9,Sun,1966-11-06,,Baltimore Colts,,Washington Redskins,boxscore,37,10,520,2,272,4
9,Sun,1966-11-06,,Philadelphia Eagles,,Dallas Cowboys,boxscore,24,23,80,3,240,2
9,Sun,1966-11-06,,St. Louis Cardinals,@,New York Giants,boxscore,20,17,264,2,210,2
9,Sun,1966-11-06,,Minnesota Vikings,@,Green Bay Packers,boxscore,20,17,290,0,292,1
9,Sun,1966-11-06,,San Francisco 49ers,,Los Angeles Rams,boxscore,21,13,358,2,142,1
10,Sun,1966-11-13,,Baltimore Colts,@,Atlanta Falcons,boxscore,19,7,200,3,241,7
10,Sun,1966-11-13,,San Francisco 49ers,@,Chicago Bears,boxscore,30,30,423,3,220,1
10,Sun,1966-11-13,,Cleveland Browns,,Philadelphia Eagles,boxscore,27,7,345,0,290,4
10,Sun,1966-11-13,,Dallas Cowboys,@,Washington Redskins,boxscore,31,30,515,3,341,0
10,Sun,1966-11-13,,Los Angeles Rams,,New York Giants,boxscore,55,14,572,1,103,3
10,Sun,1966-11-13,,Pittsburgh Steelers,,St. Louis Cardinals,boxscore,30,9,150,3,251,4
10,Sun,1966-11-13,,Detroit Lions,@,Minnesota Vikings,boxscore,32,31,268,4,232,5
11,Sun,1966-11-20,,Atlanta Falcons,@,New York Giants,boxscore,27,16,289,1,303,4
11,Sun,1966-11-20,,Green Bay Packers,,Chicago Bears,boxscore,13,6,296,2,160,4
11,Sun,1966-11-20,,Cleveland Browns,,Washington Redskins,boxscore,14,3,271,2,327,4
11,Sun,1966-11-20,,Detroit Lions,,Baltimore Colts,boxscore,20,14,281,4,289,6
11,Sun,1966-11-20,,Dallas Cowboys,@,Pittsburgh Steelers,boxscore,20,7,258,1,163,3
11,Sun,1966-11-20,,Los Angeles Rams,,Minnesota Vikings,boxscore,21,6,228,1,186,4
11,Sun,1966-11-20,,Philadelphia Eagles,@,San Francisco 49ers,boxscore,35,34,289,5,404,5
12,Thu,1966-11-24,,Dallas Cowboys,,Cleveland Browns,boxscore,26,14,304,0,321,1
12,Thu,1966-11-24,,San Francisco 49ers,@,Detroit Lions,boxscore,41,14,487,3,196,2
12,Sun,1966-11-27,,Chicago Bears,,Atlanta Falcons,boxscore,23,6,476,4,167,3
12,Sun,1966-11-27,,Los Angeles Rams,@,Baltimore Colts,boxscore,23,7,310,1,140,2
12,Sun,1966-11-27,,St. Louis Cardinals,,Pittsburgh Steelers,boxscore,6,3,228,1,78,2
12,Sun,1966-11-27,,Green Bay Packers,@,Minnesota Vikings,boxscore,28,16,304,1,322,2
12,Sun,1966-11-27,,Washington Redskins,,New York Giants,boxscore,72,41,341,2,389,6
13,Sun,1966-12-04,,Atlanta Falcons,@,Minnesota Vikings,boxscore,20,13,187,0,270,6
13,Sun,1966-12-04,,Baltimore Colts,,Chicago Bears,boxscore,21,16,260,2,296,3
13,Sun,1966-12-04,,Cleveland Browns,,New York Giants,boxscore,49,40,447,3,335,1
13,Sun,1966-12-04,,Dallas Cowboys,,St. Louis Cardinals,boxscore,31,17,190,1,295,5
13,Sun,1966-12-04,,Green Bay Packers,,San Francisco 49ers,boxscore,20,7,311,1,321,4
13,Sun,1966-12-04,,Philadelphia Eagles,,Pittsburgh Steelers,boxscore,27,23,304,2,250,2
13,Sun,1966-12-04,,Los Angeles Rams,,Detroit Lions,boxscore,23,3,293,0,305,4
14,Sat,1966-12-10,,Green Bay Packers,@,Baltimore Colts,boxscore,14,10,242,1,283,5
14,Sun,1966-12-11,,Atlanta Falcons,,St. Louis Cardinals,boxscore,16,10,192,2,296,3
14,Sun,1966-12-11,,San Francisco 49ers,,Chicago Bears,boxscore,41,14,411,2,129,4
14,Sun,1966-12-11,,Philadelphia Eagles,,Cleveland Browns,boxscore,33,21,320,5,349,3
14,Sun,1966-12-11,,Washington Redskins,@,Dallas Cowboys,boxscore,34,31,399,2,370,1
14,Sun,1966-12-11,,Pittsburgh Steelers,@,New York Giants,boxscore,47,28,392,1,310,2
14,Sun,1966-12-11,,Minnesota Vikings,@,Detroit Lions,boxscore,28,16,317,3,282,2
15,Sat,1966-12-17,,Cleveland Browns,@,St. Louis Cardinals,boxscore,38,10,428,1,227,3
15,Sun,1966-12-18,,Pittsburgh Steelers,@,Atlanta Falcons,boxscore,57,33,458,1,370,5
15,Sun,1966-12-18,,Chicago Bears,,Minnesota Vikings,boxscore,41,28,380,0,460,4
15,Sun,1966-12-18,,Baltimore Colts,@,San Francisco 49ers,boxscore,30,14,403,1,305,3
15,Sun,1966-12-18,,Dallas Cowboys,@,New York Giants,boxscore,17,7,257,2,262,2
15,Sun,1966-12-18,,Green Bay Packers,@,Los Angeles Rams,boxscore,27,23,355,4,351,2
15,Sun,1966-12-18,,Philadelphia Eagles,@,Washington Redskins,boxscore,37,28,310,4,355,6

,,Playoffs,,,,,,,,,,,
Champ,Sun,1967-01-01,,Green Bay Packers,@,Dallas Cowboys,boxscore,34,27,367,1,418,2
SuperBowl,Sun,1967-01-15,,Green Bay Packers,N,Kansas City Chiefs,boxscore,35,10,358,1,239,1
